entity_id,type,canonical_name,normalized_name,path,aliases,external_ids,deletion_status,access,updated
demo-call-atlas-robotics-discovery,call,Call - Atlas Robotics - 2026-05-29 - Discovery,call - atlas robotics - 2026-05-29 - discovery,wiki/entities/calls/Call - Atlas Robotics - 2026-05-29 - Discovery.md,,demo-call-atlas-robotics,active,sales-confidential,2026-07-03
demo-call-orion-foods-discovery,call,Call - Orion Foods - 2026-05-29 - Discovery,call - orion foods - 2026-05-29 - discovery,wiki/entities/calls/Call - Orion Foods - 2026-05-29 - Discovery.md,,demo-call-orion-foods,active,sales-confidential,2026-07-03
demo-campaign-abm-sprint,campaign,Campaign - Demo ABM Sprint,campaign - demo abm sprint,wiki/entities/campaigns/Campaign - Demo ABM Sprint.md,,,active,internal,2026-07-03
demo-company-atlas-robotics,company,Company - Atlas Robotics,company - atlas robotics,wiki/entities/companies/Company - Atlas Robotics.md,,,active,internal,2026-07-03
demo-company-helio-retail,company,Company - Helio Retail,company - helio retail,wiki/entities/companies/Company - Helio Retail.md,,,active,internal,2026-07-03
demo-company-nimbus-health,company,Company - Nimbus Health,company - nimbus health,wiki/entities/companies/Company - Nimbus Health.md,,,active,internal,2026-07-03
demo-company-orion-foods,company,Company - Orion Foods,company - orion foods,wiki/entities/companies/Company - Orion Foods.md,,,active,internal,2026-07-03
demo-company-vector-finance,company,Company - Vector Finance,company - vector finance,wiki/entities/companies/Company - Vector Finance.md,,,active,internal,2026-07-03
demo-content-brief-dashboard-story,content-brief,Content Brief - SalesWiki Dashboard Story,content brief - saleswiki dashboard story,wiki/entities/content-briefs/Content Brief - SalesWiki Dashboard Story.md,,,active,internal,2026-07-03
demo-deal-atlas-robotics-pilot,deal,Deal - Atlas Robotics - Pilot,deal - atlas robotics - pilot,wiki/entities/deals/Deal - Atlas Robotics - Pilot.md,,demo-hs-deal-atlas-robotics,active,sales-confidential,2026-07-03
demo-deal-orion-foods-pilot,deal,Deal - Orion Foods - Pilot,deal - orion foods - pilot,wiki/entities/deals/Deal - Orion Foods - Pilot.md,,demo-hs-deal-orion-foods,active,sales-confidential,2026-07-03
